dt,dt_iso,timezone,city_name,lat,lon,temp,visibility,dew_point,feels_like,temp_min,temp_max,pressure,sea_level,grnd_level,humidity,wind_speed,wind_deg,wind_gust,rain_1h,rain_3h,snow_1h,snow_3h,clouds_all,weather_id,weather_main,weather_description,weather_icon
1672531200,2023-01-01 00:00:00 +0000 UTC,-21600,Destin,30.393534,-86.495783,64.15,10000,62.38,64.69,61.97,66,1017,,,94,0,0,,,,,,0,701,Mist,mist,50n
1672534800,2023-01-01 01:00:00 +0000 UTC,-21600,Destin,30.393534,-86.495783,63.97,10000,62.2,64.49,61.41,66,1018,,,94,1.01,145,,,,,,40,802,Clouds,scattered clouds,03n
1672538400,2023-01-01 02:00:00 +0000 UTC,-21600,Destin,30.393534,-86.495783,63.45,2615,61.68,63.91,60.96,64.99,1018,,,94,1.99,131,,,,,,100,701,Mist,mist,50n
1672542000,2023-01-01 03:00:00 +0000 UTC,-21600,Destin,30.393534,-86.495783,62.42,4023,61.27,62.87,60.85,64.99,1018,,,96,0,0,0,,,,,20,701,Mist,mist,50n
1672545600,2023-01-01 04:00:00 +0000 UTC,-21600,Destin,30.393534,-86.495783,61.61,805,59.86,61.9,59.61,64.36,1018,,,94,3.44,120,,,,,,75,741,Fog,fog,50n
1672549200,2023-01-01 05:00:00 +0000 UTC,-21600,Destin,30.393534,-86.495783,63.12,1207,61.97,63.64,60.96,66.99,1017,,,96,3.44,110,,,,,,100,701,Mist,mist,50n
1672552800,2023-01-01 06:00:00 +0000 UTC,-21600,Destin,30.393534,-86.495783,63.63,3219,62.17,64.15,60.96,66.99,1017,,,95,1.01,180,1.01,,,,,100,701,Mist,mist,50n
1672556400,2023-01-01 07:00:00 +0000 UTC,-21600,Destin,30.393534,-86.495783,62.4,10000,60.94,62.82,60.96,65.05,1017,,,95,1.01,5,,,,,,100,701,Mist,mist,50n
1672560000,2023-01-01 08:00:00 +0000 UTC,-21600,Destin,30.393534,-86.495783,63.57,9656,61.52,64,60.96,66.31,1017,,,93,5.82,290,0,,,,,100,701,Mist,mist,50n
1672563600,2023-01-01 09:00:00 +0000 UTC,-21600,Destin,30.393534,-86.495783,64.35,8047,62.89,64.94,62.8,66.31,1017,,,95,5.82,260,0,,,,,100,701,Mist,mist,50n
1672567200,2023-01-01 10:00:00 +0000 UTC,-21600,Destin,30.393534,-86.495783,65.16,1609,63.99,65.88,62.96,66.16,1018,,,96,4.7,320,0,,,,,100,701,Mist,mist,50n
1672570800,2023-01-01 11:00:00 +0000 UTC,-21600,Destin,30.393534,-86.495783,63.84,3219,62.67,64.44,62.65,64.99,1018,,,96,6.93,300,0,,,,,100,701,Mist,mist,50n
1672574400,2023-01-01 12:00:00 +0000 UTC,-21600,Destin,30.393534,-86.495783,63.27,1207,61.81,63.75,61.97,64.36,1019,,,95,5.82,290,0,,,,,100,701,Mist,mist,50n
1672578000,2023-01-01 13:00:00 +0000 UTC,-21600,Destin,30.393534,-86.495783,63.19,402,62.04,63.73,61.97,64.4,1020,,,96,5.75,340,,0.25,,,,100,741,Fog,fog,50d
1672578000,2023-01-01 13:00:00 +0000 UTC,-21600,Destin,30.393534,-86.495783,63.19,402,62.04,63.73,61.97,64.4,1020,,,96,5.75,340,,0.25,,,,100,500,Rain,light rain,10d
1672581600,2023-01-01 14:00:00 +0000 UTC,-21600,Destin,30.393534,-86.495783,63.19,604,62.04,63.73,61.97,64,1020,,,96,5.82,340,0,,,,,100,741,Fog,fog,50d
1672585200,2023-01-01 15:00:00 +0000 UTC,-21600,Destin,30.393534,-86.495783,63.79,4828,62.62,64.38,62.65,64.99,1021,,,96,3.44,350,,,,,,100,701,Mist,mist,50d
1672588800,2023-01-01 16:00:00 +0000 UTC,-21600,Destin,30.393534,-86.495783,65.59,805,64.42,66.36,64.33,66.2,1021,,,96,4.7,360,0,,,,,100,741,Fog,fog,50d
1672592400,2023-01-01 17:00:00 +0000 UTC,-21600,Destin,30.393534,-86.495783,68.05,805,65.34,68.83,66.06,68.45,1021,,,91,4.61,200,,,,,,100,741,Fog,fog,50d
1672596000,2023-01-01 18:00:00 +0000 UTC,-21600,Destin,30.393534,-86.495783,71.31,10000,66.9,72.19,67.05,72.05,1020,,,86,0,0,0,,,,,40,802,Clouds,scattered clouds,03d
1672599600,2023-01-01 19:00:00 +0000 UTC,-21600,Destin,30.393534,-86.495783,71.02,10000,65.95,71.78,66.16,72,1019,,,84,5.82,200,0,,,,,0,800,Clear,sky is clear,01d
1672603200,2023-01-01 20:00:00 +0000 UTC,-21600,Destin,30.393534,-86.495783,70.79,10000,65.03,71.42,68.05,72,1019,,,82,6.93,190,0,,,,,0,800,Clear,sky is clear,01d
1672606800,2023-01-01 21:00:00 +0000 UTC,-21600,Destin,30.393534,-86.495783,68.9,9656,63.18,69.35,64.36,73.6,1019,,,82,6.93,150,0,,,,,40,721,Haze,haze,50d
1672610400,2023-01-01 22:00:00 +0000 UTC,-21600,Destin,30.393534,-86.495783,64.9,805,62.83,65.46,62.35,66.2,1019,,,93,5.82,190,0,,,,,100,741,Fog,fog,50d
1672614000,2023-01-01 23:00:00 +0000 UTC,-21600,Destin,30.393534,-86.495783,64.24,805,62.17,64.72,61.97,66.2,1019,,,93,3.44,210,,,,,,100,741,Fog,fog,50n
1672617600,2023-01-02 00:00:00 +0000 UTC,-21600,Destin,30.393534,-86.495783,63.57,402,62.42,64.15,60.96,66.2,1020,,,96,3.44,140,,,,,,100,741,Fog,fog,50n
1672621200,2023-01-02 01:00:00 +0000 UTC,-21600,Destin,30.393534,-86.495783,64.13,402,62.67,64.71,61.97,66.2,1020,,,95,4.7,130,0,,,,,100,741,Fog,fog,50n
1672624800,2023-01-02 02:00:00 +0000 UTC,-21600,Destin,30.393534,-86.495783,64.17,402,63,64.8,61.41,66.99,1021,,,96,3.44,140,,,,,,100,741,Fog,fog,50n
1672628400,2023-01-02 03:00:00 +0000 UTC,-21600,Destin,30.393534,-86.495783,65.08,201,63.91,65.8,62.71,66.99,1021,,,96,5.82,150,0,,,,,100,741,Fog,fog,50n
1672632000,2023-01-02 04:00:00 +0000 UTC,-21600,Destin,30.393534,-86.495783,65.14,201,63.66,65.82,62.96,66.99,1021,,,95,3.44,100,,,,,,100,741,Fog,fog,50n
1672635600,2023-01-02 05:00:00 +0000 UTC,-21600,Destin,30.393534,-86.495783,65.46,402,64.29,66.22,63.21,68,1021,,,96,4.7,130,0,,,,,100,741,Fog,fog,50n
1672639200,2023-01-02 06:00:00 +0000 UTC,-21600,Destin,30.393534,-86.495783,65.71,402,64.54,66.51,63.21,68,1020,,,96,4.7,120,0,,,,,100,741,Fog,fog,50n
1672642800,2023-01-02 07:00:00 +0000 UTC,-21600,Destin,30.393534,-86.495783,66.78,604,65.61,67.66,64.69,69.01,1020,,,96,5.82,110,0,,,,,100,741,Fog,fog,50n
1672646400,2023-01-02 08:00:00 +0000 UTC,-21600,Destin,30.393534,-86.495783,67.15,604,65.98,68.09,64.96,69.01,1020,,,96,4.7,100,0,,,,,100,741,Fog,fog,50n
1672650000,2023-01-02 09:00:00 +0000 UTC,-21600,Destin,30.393534,-86.495783,67.14,604,65.97,68.05,64.96,69.01,1020,,,96,8.05,140,0,,,,,100,741,Fog,fog,50n
1672653600,2023-01-02 10:00:00 +0000 UTC,-21600,Destin,30.393534,-86.495783,68.07,604,66.88,69.1,66.96,69.91,1020,,,96,9.22,140,,,,,,100,741,Fog,fog,50n
1672657200,2023-01-02 11:00:00 +0000 UTC,-21600,Destin,30.393534,-86.495783,67.55,604,66.67,68.56,65.97,69.01,1020,,,97,10.36,140,,,,,,100,741,Fog,fog,50n
1672660800,2023-01-02 12:00:00 +0000 UTC,-21600,Destin,30.393534,-86.495783,68.07,402,66.58,69.04,66.96,69.76,1020,,,95,8.05,110,0,,,,,100,741,Fog,fog,50n
1672664400,2023-01-02 13:00:00 +0000 UTC,-21600,Destin,30.393534,-86.495783,67.96,402,66.78,68.97,66.96,69.01,1021,,,96,8.05,110,0,,,,,100,741,Fog,fog,50d
1672668000,2023-01-02 14:00:00 +0000 UTC,-21600,Destin,30.393534,-86.495783,67.42,402,66.54,68.43,65.97,68.65,1021,,,97,10.36,120,,0.25,,,,100,741,Fog,fog,50d
1672668000,2023-01-02 14:00:00 +0000 UTC,-21600,Destin,30.393534,-86.495783,67.42,402,66.54,68.43,65.97,68.65,1021,,,97,10.36,120,,0.25,,,,100,500,Rain,light rain,10d
1672671600,2023-01-02 15:00:00 +0000 UTC,-21600,Destin,30.393534,-86.495783,67.96,402,67.08,69.03,65.97,69.91,1021,,,97,11.5,120,,,,,,100,741,Fog,fog,50d
1672675200,2023-01-02 16:00:00 +0000 UTC,-21600,Destin,30.393534,-86.495783,67.96,402,66.78,68.97,65.97,70.45,1022,,,96,13.87,140,0,,,,,100,741,Fog,fog,50d
1672678800,2023-01-02 17:00:00 +0000 UTC,-21600,Destin,30.393534,-86.495783,69.4,805,67.91,70.5,66.96,71.6,1022,,,95,12.75,120,0,,,,,100,741,Fog,fog,50d
1672682400,2023-01-02 18:00:00 +0000 UTC,-21600,Destin,30.393534,-86.495783,69.08,4828,67.28,70.11,65.97,71.1,1021,,,94,9.17,120,0,,,,,56,803,Clouds,broken clouds,04d
1672686000,2023-01-02 19:00:00 +0000 UTC,-21600,Destin,30.393534,-86.495783,68.43,6437,66.94,69.44,67.96,69.01,1020,,,95,8.05,120,0,,,,,100,701,Mist,mist,50d
1672689600,2023-01-02 20:00:00 +0000 UTC,-21600,Destin,30.393534,-86.495783,69.15,4023,67.05,70.14,67.96,71.1,1019,,,93,14.99,110,0,,,,,100,701,Mist,mist,50d
1672693200,2023-01-02 21:00:00 +0000 UTC,-21600,Destin,30.393534,-86.495783,68.76,805,66.34,69.66,66.96,70.09,1019,,,92,14.99,140,0,,,,,100,741,Fog,fog,50d
1672696800,2023-01-02 22:00:00 +0000 UTC,-21600,Destin,30.393534,-86.495783,68.47,402,65.73,69.3,65.97,70.05,1019,,,91,12.75,130,0,,,,,100,741,Fog,fog,50d
1672700400,2023-01-02 23:00:00 +0000 UTC,-21600,Destin,30.393534,-86.495783,68.11,3219,66,68.99,64.96,70.02,1019,,,93,11.5,120,,,,,,100,701,Mist,mist,50n
